Feature,Mutual Information
Head_sixD_b_max,0.26924122968597786
LeftHand_euler_x_median,0.23784668363442396
LeftHand_euler_x_max,0.18177790616895528
Head_angular_velocity_x_std,0.1631612341720503
RightHand_euler_y_mean,0.15743796106646313
Head_angular_velocity_y_median,0.1548151596297922
Head_jerk_x_median,0.1517167096485239
LeftHand_velocity_pause_duration_max,0.1433966568712033
RightHand_sixD_c_mean,0.1423138403798374
LeftHand_sixD_c_min,0.14228272663014252
Head_sixD_a_median,0.13693994317966007
RightHand_angular_velocity_time_since_pause_std,0.1355765439985981
LeftHand_euler_x_min,0.13234209336349068
Head_angular_acceleration_x_std,0.12883667887342476
Head_angular_acceleration_z_median,0.1275149643531015
RightHand_angular_jerk_z_min,0.12676213495534316
Head_angular_velocity_x_max,0.12412697230622527
LeftHand_velocity_time_since_pause_median,0.12132145630090063
LeftHand_sixD_a_median,0.12107210259708312
LeftHand_position_z_mean,0.1152721714706586
Head_position_z_std,0.11466467110796419
Head_angular_jerk_pause_duration_std,0.11430396095378459
Head_angular_acceleration_pause_duration_max,0.11337010950148052
LeftHand_position_y_max,0.11233286063083048
Head_acceleration_z_median,0.10929848948972154
Head_angular_acceleration_z_std,0.10892622641895056
RightHand_angular_velocity_z_std,0.10887102799610338
LeftHand_position_z_median,0.1088027388533428
RightHand_velocity_y_min,0.1050900321765047
LeftHand_acceleration_y_min,0.10299567956798761
Head_position_y_median,0.1013397264438094
Head_angular_acceleration_pause_duration_std,0.10102342943494325
RightHand_jerk_x_min,0.10048038875845267
Head_sixD_c_mean,0.10009960308848731
RightHand_velocity_y_mean,0.09995838867185469
LeftHand_euler_z_std,0.09982251197880121
LeftHand_sixD_d_median,0.0998153539818123
Head_angular_acceleration_z_max,0.09879916484232432
RightHand_jerk_y_median,0.09570399096382509
Head_euler_y_max,0.0951483162709974
LeftHand_jerk_z_std,0.09459027310040602
Head_sixD_d_max,0.0936811281212151
Head_angular_acceleration_pause_duration_median,0.09347559093093416
RightHand_angular_jerk_time_since_pause_max,0.09137018935716856
Head_acceleration_z_std,0.09033121122442944
Head_velocity_x_max,0.0900195105558037
RightHand_sixD_c_min,0.08964368349818974
Head_position_y_mean,0.08884730192939427
LeftHand_angular_acceleration_x_min,0.08869939187662812
LeftHand_position_x_mean,0.0885240878192417
LeftHand_position_z_min,0.08773107028652039
RightHand_sixD_e_max,0.08553095453982396
Head_angular_velocity_z_max,0.08481460080748926
RightHand_acceleration_time_since_pause_max,0.08448225898118
RightHand_angular_jerk_time_since_pause_mean,0.0841854293402009
LeftHand_quat_z_median,0.08325189211885986
RightHand_euler_y_median,0.08278517242056216
LeftHand_angular_acceleration_time_since_pause_mean,0.08196153962544184
Head_angular_acceleration_time_since_pause_median,0.08135648145317598
LeftHand_acceleration_y_mean,0.08064779388551724
Head_jerk_y_min,0.08036982625184574
RightHand_jerk_y_mean,0.08031796964331184
LeftHand_jerk_x_std,0.07954877420335871
RightHand_position_z_min,0.07907491310050307
RightHand_angular_jerk_pause_duration_std,0.07851360257913376
Head_position_y_min,0.07811791394340384
Head_acceleration_time_since_pause_max,0.07770866801428511
RightHand_angular_jerk_pause_duration_max,0.07748296176934
RightHand_angular_jerk_y_mean,0.07650178621830017
RightHand_sixD_b_max,0.076325974292621
LeftHand_euler_y_median,0.07630084544760374
RightHand_position_x_std,0.07607002071180835
RightHand_angular_jerk_x_min,0.07592421564554641
LeftHand_velocity_z_min,0.07501144892932299
Head_velocity_x_std,0.0747784503975577
RightHand_angular_acceleration_pause_duration_mean,0.07428222645294413
Head_sixD_f_max,0.0729217448994075
RightHand_angular_jerk_y_max,0.07272925276446207
Head_angular_jerk_z_std,0.0717502535332577
LeftHand_angular_jerk_time_since_pause_max,0.07154146295537833
RightHand_angular_jerk_z_std,0.07147174894735153
LeftHand_acceleration_time_since_pause_median,0.07093534236540178
LeftHand_angular_jerk_x_min,0.07081518630787986
Head_angular_velocity_y_min,0.07056605350988976
RightHand_quat_x_min,0.07020876592825154
Head_angular_acceleration_z_min,0.06922125137495794
Head_angular_velocity_time_since_pause_max,0.06762527549084663
Head_angular_jerk_z_max,0.0669659299505474
RightHand_sixD_f_max,0.06421150661658404
LeftHand_angular_jerk_y_min,0.06410548669565364
Head_angular_acceleration_z_mean,0.0636164251101663
RightHand_velocity_pause_duration_std,0.06337174757930608
Head_angular_acceleration_time_since_pause_std,0.06302921064078948
RightHand_angular_acceleration_pause_duration_min,0.062654966631563
RightHand_angular_jerk_x_std,0.06257836449521204
RightHand_euler_y_max,0.05999286161289996
Head_sixD_c_median,0.059322999587169356
Head_angular_acceleration_time_since_pause_max,0.058718921752936915
RightHand_quat_x_max,0.05852814554108132
LeftHand_angular_velocity_y_median,0.058129916448272034
LeftHand_angular_jerk_y_max,0.057177827523562375
LeftHand_velocity_y_std,0.05702546752494042
RightHand_angular_velocity_x_min,0.056707275207803054
RightHand_angular_acceleration_pause_duration_std,0.056468874836764105
LeftHand_acceleration_time_since_pause_max,0.0561676361521144
Head_angular_acceleration_time_since_pause_mean,0.05573197490040016
Head_velocity_x_mean,0.055288437395399015
RightHand_velocity_pause_duration_min,0.05482209229545232
LeftHand_angular_velocity_z_std,0.054493585940945
LeftHand_acceleration_y_median,0.054244963297754634
LeftHand_acceleration_x_min,0.053239096189064306
Head_quat_x_std,0.05317969575740111
Head_velocity_pause_duration_median,0.053110635699959774
LeftHand_jerk_y_mean,0.052227515355452336
LeftHand_quat_y_median,0.05211384479597747
Head_angular_jerk_y_min,0.051579804443358857
Head_angular_velocity_y_std,0.05142345741437104
Head_velocity_z_std,0.0513245109494509
LeftHand_velocity_x_mean,0.05074529972190911
RightHand_angular_jerk_x_mean,0.05039162022102994
RightHand_velocity_pause_duration_mean,0.05024962022373236
RightHand_sixD_b_std,0.05011017623476466
RightHand_jerk_z_std,0.049504784354876374
Head_velocity_y_median,0.04925174981307201
Head_velocity_pause_duration_min,0.04923698181396485
LeftHand_angular_jerk_time_since_pause_std,0.04921926377890262
RightHand_velocity_x_max,0.04897052141661318
Head_angular_acceleration_x_median,0.04838544088183694
RightHand_jerk_x_std,0.048259467575819226
RightHand_velocity_y_std,0.04745558975055797
RightHand_jerk_pause_duration_std,0.04714397298684059
Head_acceleration_pause_duration_mean,0.04588471691499141
RightHand_angular_velocity_pause_duration_max,0.04587411471868652
Head_jerk_z_max,0.04495912667761992
LeftHand_acceleration_z_min,0.04485738542730955
RightHand_jerk_pause_duration_max,0.043938179979050584
Head_sixD_d_min,0.04369654905640985
LeftHand_angular_velocity_y_std,0.043228132144322196
LeftHand_velocity_z_median,0.042508496506787896
LeftHand_jerk_y_max,0.042441644569017445
Head_angular_jerk_x_min,0.042102312424062927
Head_jerk_pause_duration_std,0.041981554520764686
LeftHand_velocity_y_mean,0.04187104993633195
Head_angular_acceleration_x_max,0.041728649055408074
RightHand_angular_acceleration_x_std,0.04168729669013471
LeftHand_velocity_pause_duration_std,0.041138281900161555
Head_velocity_x_min,0.040562019679611705
LeftHand_velocity_x_median,0.04030117251904253
LeftHand_jerk_time_since_pause_std,0.040056040797366244
Head_quat_y_mean,0.03944373320710959
LeftHand_angular_acceleration_pause_duration_min,0.039332444085584006
RightHand_angular_velocity_time_since_pause_max,0.03924547341615048
Head_velocity_y_std,0.03917870914776689
RightHand_angular_jerk_z_median,0.03896860605815178
RightHand_angular_velocity_z_mean,0.03881572900510655
LeftHand_jerk_y_median,0.03876803179186217
RightHand_velocity_z_median,0.03793439114804187
RightHand_angular_jerk_pause_duration_mean,0.03691767043886962
RightHand_acceleration_z_std,0.03685127757980888
RightHand_angular_velocity_x_mean,0.036850461387645694
RightHand_quat_z_median,0.03620148030841985
LeftHand_angular_jerk_pause_duration_median,0.036137924217776174
LeftHand_jerk_y_std,0.03567588824460444
LeftHand_angular_acceleration_pause_duration_max,0.035605160286670046
RightHand_acceleration_y_min,0.03524340252865743
Head_euler_y_median,0.035111708048472856
LeftHand_sixD_a_max,0.0347387621600328
LeftHand_acceleration_y_max,0.0346317739160642
LeftHand_angular_velocity_x_mean,0.034377794573765996
Head_acceleration_x_std,0.0338620839430015
RightHand_sixD_b_median,0.03381887945016837
Head_euler_z_min,0.03356160411513143
RightHand_velocity_time_since_pause_max,0.033471605159695716
Head_acceleration_y_std,0.03329045510027351
LeftHand_euler_y_mean,0.033267463198795255
Head_sixD_e_std,0.033166055980699216
Head_jerk_pause_duration_max,0.032871947466193596
RightHand_velocity_x_mean,0.032289822396680545
RightHand_angular_velocity_z_max,0.03200310009031471
Head_angular_acceleration_x_min,0.031909327331734794
Head_position_y_max,0.0317551919940855
RightHand_sixD_f_std,0.031162222624558478
RightHand_quat_x_median,0.0309764796056613
LeftHand_velocity_z_mean,0.03076782340820161
Head_angular_velocity_time_since_pause_std,0.030536748701684324
LeftHand_sixD_c_median,0.03000064405008951
Head_acceleration_z_mean,0.02940205874864832
LeftHand_sixD_e_std,0.02926053666139472
RightHand_jerk_pause_duration_median,0.028013857017026078
Head_quat_z_std,0.02777415294834995
Head_angular_jerk_pause_duration_median,0.027770864572474352
Head_acceleration_x_min,0.02775680990396534
RightHand_angular_jerk_time_since_pause_median,0.027134060209827116
LeftHand_angular_velocity_pause_duration_mean,0.02650926963289235
RightHand_angular_jerk_x_median,0.02591621622644924
RightHand_jerk_time_since_pause_std,0.025784854824769887
LeftHand_position_x_median,0.025566002402354737
LeftHand_sixD_c_mean,0.02535556699503072
RightHand_angular_acceleration_y_mean,0.025351096384264693
Head_jerk_x_min,0.02491520477324638
RightHand_angular_acceleration_x_median,0.024770524750730605
Head_sixD_c_std,0.024587109626183157
Head_sixD_f_min,0.023708955787871133
LeftHand_acceleration_pause_duration_max,0.02370660532705937
LeftHand_velocity_pause_duration_mean,0.023577480889825253
LeftHand_angular_velocity_z_mean,0.023536592901972853
LeftHand_angular_acceleration_x_median,0.023048669876156502
Head_quat_x_min,0.02289050369434298
RightHand_acceleration_x_min,0.02236907598552129
Head_angular_acceleration_y_median,0.02228759697797722
Head_acceleration_y_median,0.021984630690581763
Head_acceleration_y_max,0.021980125282324625
RightHand_angular_jerk_x_max,0.02125904301014403
LeftHand_quat_w_min,0.02117609123035402
LeftHand_quat_y_mean,0.020895369958679577
RightHand_sixD_f_mean,0.020800678576716525
LeftHand_velocity_time_since_pause_max,0.02041358304675578
RightHand_angular_velocity_z_min,0.020205326803283352
LeftHand_sixD_b_mean,0.018862086316334903
LeftHand_quat_z_mean,0.01878027023001927
Head_sixD_b_std,0.018760896748483802
Head_sixD_e_min,0.01846706984804536
LeftHand_euler_y_std,0.018202251306972617
RightHand_angular_acceleration_x_max,0.018201803082313894
RightHand_angular_jerk_time_since_pause_std,0.0181711696915543
LeftHand_acceleration_x_std,0.017927464627746303
Head_angular_jerk_time_since_pause_std,0.017563045981696224
RightHand_angular_acceleration_z_std,0.017048476569565096
RightHand_position_z_median,0.016847967303883493
LeftHand_acceleration_z_mean,0.016616330590145
LeftHand_angular_jerk_time_since_pause_min,0.016401759448142705
LeftHand_position_y_min,0.016391431987310412
Head_position_x_mean,0.01636189548945355
RightHand_angular_acceleration_time_since_pause_median,0.016312292151263286
LeftHand_sixD_b_median,0.015675007101977112
RightHand_angular_acceleration_z_median,0.015527975972281727
Head_euler_y_std,0.015349258696462087
LeftHand_angular_velocity_time_since_pause_min,0.014707608623202528
LeftHand_angular_velocity_y_min,0.014250302159421135
RightHand_quat_y_median,0.014173818088195844
RightHand_angular_acceleration_z_min,0.013942079183799194
LeftHand_quat_z_min,0.01387083117211052
RightHand_angular_acceleration_time_since_pause_mean,0.013817447797088711
LeftHand_angular_jerk_x_median,0.013681708373150414
Head_angular_velocity_z_min,0.013265301387469286
RightHand_quat_z_mean,0.012779513950938792
Head_sixD_a_min,0.012762711960325301
RightHand_jerk_y_std,0.01231171115392149
LeftHand_sixD_e_median,0.01230312324855598
RightHand_angular_jerk_y_std,0.012266058114111189
RightHand_acceleration_time_since_pause_std,0.011896486264038053
Head_jerk_y_std,0.011757540416073908
LeftHand_angular_velocity_pause_duration_min,0.011367393543957771
Head_angular_velocity_x_min,0.011348271814020094
Head_jerk_time_since_pause_std,0.011258385937588766
LeftHand_angular_jerk_y_mean,0.010817908149056699
LeftHand_quat_w_mean,0.010317904593709404
Head_acceleration_pause_duration_median,0.010294832711247981
LeftHand_quat_x_std,0.00974900548272517
RightHand_acceleration_pause_duration_median,0.009346523731237566
LeftHand_angular_acceleration_x_std,0.00900435847441683
Head_euler_z_median,0.00896854703071348
LeftHand_acceleration_pause_duration_min,0.008626196644300865
Head_jerk_time_since_pause_mean,0.008599450451272084
RightHand_euler_x_std,0.008438580561822562
LeftHand_angular_acceleration_y_max,0.008221345515089684
Head_jerk_time_since_pause_median,0.008150989361578098
Head_velocity_z_min,0.008131102811323121
RightHand_acceleration_pause_duration_max,0.008066456422248347
LeftHand_angular_acceleration_time_since_pause_min,0.008066268964826762
LeftHand_quat_y_min,0.008009171650866787
RightHand_quat_w_max,0.007846649289667607
RightHand_position_y_mean,0.007459365788218264
Head_angular_velocity_time_since_pause_median,0.007417094031264337
RightHand_angular_velocity_z_median,0.007100860801204423
RightHand_sixD_c_median,0.006978609737891439
RightHand_jerk_x_mean,0.006282769417516931
Head_angular_jerk_pause_duration_mean,0.005276640543611766
Head_euler_y_mean,0.005276162398514472
LeftHand_euler_z_mean,0.005157997950582693
LeftHand_jerk_x_median,0.00474778602936432
Head_angular_jerk_z_median,0.004745787597094875
RightHand_angular_acceleration_x_mean,0.003937097452385352
Head_velocity_pause_duration_max,0.0035607786960181187
LeftHand_acceleration_pause_duration_std,0.0031175589130572057
Head_velocity_time_since_pause_mean,0.002930316086294571
Head_jerk_x_mean,0.0026147200986796904
RightHand_sixD_f_min,0.002470083455598626
LeftHand_quat_y_std,0.0022473076025826266
LeftHand_sixD_f_max,0.002221599354769843
LeftHand_angular_acceleration_y_median,0.0019444825573629032
RightHand_euler_x_max,0.0019321074007594419
LeftHand_jerk_time_since_pause_min,0.0016463255444767455
RightHand_angular_acceleration_y_min,0.0015764076841269237
RightHand_quat_y_mean,0.00120436350937414
LeftHand_position_z_max,0.000690610533441216
Head_velocity_z_median,0.0006161439073424368
Head_velocity_time_since_pause_max,0.0005804033617917703
Head_angular_jerk_z_min,0.00018577541147601906
LeftHand_sixD_f_median,0.0
Head_jerk_time_since_pause_max,0.0
LeftHand_sixD_f_mean,0.0
Head_jerk_time_since_pause_min,0.0
RightHand_position_x_min,0.0
Head_angular_acceleration_pause_duration_min,0.0
Head_angular_acceleration_pause_duration_mean,0.0
LeftHand_sixD_f_std,0.0
Head_jerk_pause_duration_mean,0.0
RightHand_angular_velocity_x_max,0.0
RightHand_jerk_z_mean,0.0
RightHand_jerk_z_median,0.0
RightHand_jerk_z_max,0.0
RightHand_jerk_z_min,0.0
Head_angular_velocity_pause_duration_min,0.0
Head_angular_velocity_pause_duration_max,0.0
RightHand_position_y_median,0.0
Head_acceleration_pause_duration_std,0.0
Head_acceleration_time_since_pause_min,0.0
RightHand_velocity_y_max,0.0
Head_acceleration_time_since_pause_median,0.0
Head_acceleration_time_since_pause_mean,0.0
Head_acceleration_time_since_pause_std,0.0
Head_jerk_pause_duration_median,0.0
RightHand_position_x_max,0.0
RightHand_angular_velocity_x_std,0.0
RightHand_angular_velocity_x_median,0.0
RightHand_angular_acceleration_y_median,0.0
RightHand_angular_acceleration_y_max,0.0
LeftHand_sixD_b_std,0.0
LeftHand_sixD_c_max,0.0
LeftHand_sixD_c_std,0.0
LeftHand_sixD_d_min,0.0
Head_jerk_pause_duration_min,0.0
RightHand_angular_jerk_y_min,0.0
RightHand_angular_jerk_y_median,0.0
RightHand_angular_acceleration_x_min,0.0
RightHand_angular_jerk_z_max,0.0
RightHand_angular_jerk_z_mean,0.0
Head_velocity_pause_duration_mean,0.0
RightHand_angular_acceleration_z_mean,0.0
RightHand_angular_acceleration_y_std,0.0
RightHand_angular_acceleration_z_max,0.0
LeftHand_sixD_d_max,0.0
RightHand_position_x_median,0.0
RightHand_position_x_mean,0.0
RightHand_position_y_min,0.0
LeftHand_sixD_d_mean,0.0
Head_angular_velocity_time_since_pause_mean,0.0
Head_angular_velocity_time_since_pause_min,0.0
LeftHand_sixD_d_std,0.0
Head_angular_velocity_pause_duration_std,0.0
RightHand_angular_velocity_y_min,0.0
Head_angular_velocity_pause_duration_median,0.0
LeftHand_sixD_e_min,0.0
LeftHand_sixD_e_max,0.0
LeftHand_sixD_e_mean,0.0
RightHand_angular_velocity_y_std,0.0
RightHand_angular_velocity_y_mean,0.0
LeftHand_sixD_f_min,0.0
RightHand_angular_velocity_y_median,0.0
RightHand_angular_velocity_y_max,0.0
Head_angular_velocity_pause_duration_mean,0.0
Head_quat_w_std,0.0
Head_quat_w_mean,0.0
Head_quat_w_median,0.0
Head_quat_w_max,0.0
Head_quat_w_min,0.0
RightHand_jerk_time_since_pause_mean,0.0
RightHand_jerk_time_since_pause_median,0.0
RightHand_jerk_time_since_pause_max,0.0
RightHand_jerk_time_since_pause_min,0.0
RightHand_jerk_pause_duration_mean,0.0
RightHand_jerk_pause_duration_min,0.0
RightHand_position_y_max,0.0
Head_sixD_a_std,0.0
RightHand_angular_velocity_time_since_pause_mean,0.0
RightHand_angular_velocity_time_since_pause_median,0.0
RightHand_angular_velocity_time_since_pause_min,0.0
RightHand_angular_velocity_pause_duration_std,0.0
RightHand_angular_velocity_pause_duration_mean,0.0
RightHand_angular_velocity_pause_duration_median,0.0
RightHand_angular_velocity_pause_duration_min,0.0
RightHand_angular_acceleration_time_since_pause_std,0.0
RightHand_angular_acceleration_time_since_pause_max,0.0
RightHand_angular_acceleration_time_since_pause_min,0.0
RightHand_angular_acceleration_pause_duration_median,0.0
Head_sixD_b_min,0.0
LeftHand_angular_acceleration_pause_duration_std,0.0
LeftHand_angular_acceleration_pause_duration_mean,0.0
LeftHand_angular_acceleration_pause_duration_median,0.0
LeftHand_angular_velocity_time_since_pause_std,0.0
LeftHand_angular_velocity_time_since_pause_mean,0.0
LeftHand_angular_velocity_time_since_pause_median,0.0
Head_sixD_d_median,0.0
Head_sixD_c_max,0.0
Head_sixD_c_min,0.0
Head_sixD_b_mean,0.0
Head_sixD_b_median,0.0
